Agent名称,发送的prompt,收到的内容,回合
A009_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A009_NJ_KFC | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A009_NJ_KFC | Round=23
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A009_NJ_KFC | Round=23
工资：立即按新标执行并补差，优化班表控工时。
促销：落地总部节促物料与话术，日跟客单转化，闭店上报。
薯源紧缺：保套餐小薯，停大薯升级；推替代配菜，控出损与库存。",23
A010_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A010_NJ_KFC | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A010_NJ_KFC | Round=23
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A010_NJ_KFC | Round=23
确认新时薪生效；系统滞后则人工补差，并压非峰工时。
执行节日促销，班前话术强化，每日回传转化与问题。
薯料紧缺：提前锁单/调拨；薯条限量与份控，推荐替代配菜。",23
A011_PA_KFC,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A011_PA_KFC | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A011_PA_KFC | Round=23
【本周行动】你现在扮演：肯德基门店值班经理（州别：PA，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A011_PA_KFC | Round=23
节促执行：班前统一话术、上墙物料；日终录销量与反馈。
天气与原料波动：缩短堂食、强外卖，清雪撒盐；停售大薯推替代配菜，控库损耗。",23
A012_PA_WY,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A012_PA_WY | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A012_PA_WY | Round=23
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A012_PA_WY | Round=23
1)大雪：缩时与弹性排班，除雪撒盐，主攻外卖。2)薯源紧：停售大份薯条/限量烤土豆，推荐替代配菜，控报损。3)节促：更新物料POS、班前宣导，日终报转化/客诉。",23
A013_PA_WY,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A013_PA_WY | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A013_PA_WY | Round=23
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A013_PA_WY | Round=23
执行总部节日促销，设转化/毛利日报，及时反馈调整。
土豆紧缺：薯条限购，停售烤土豆，推荐沙拉/辣椒杯。
大雪：合并班次缩时营业，优先外卖外带，清雪防滑控人力。",23
A014_PA_WY,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A014_PA_WY | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A014_PA_WY | Round=23
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A014_PA_WY | Round=23
按总部节促执行，主攻客单，日报转化与毛利。
薯条限量，优先套餐，推沙拉/辣椒替代，严控报废。
大雪缩短堂食，精简排班，聚焦得来速/外卖，除雪防滑到位。",23
A015_PA_WY,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A015_PA_WY | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A015_PA_WY | Round=23
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A015_PA_WY | Round=23
雪天缩时营业、增外送路边取餐，排班减员留机动，保安全与营收。
薯源紧缺：薯条限量荐替代；节促照推套餐陈列话术；客单+6%，客流-22%。",23
A016_PA_WY,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A016_PA_WY | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A016_PA_WY | Round=23
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A016_PA_WY | Round=23
执行节日促销话术与物料，主推套餐；首两天客单+8%。
因土豆紧缺与大雪：停烤土豆、限大薯；堂食至20:00，聚焦外卖，客流-30%。",23
A017_PA_RR,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A017_PA_RR | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A017_PA_RR | Round=23
【本周行动】你现在扮演：罗伊罗杰门店值班经理（州别：PA，连锁：罗伊罗杰）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A017_PA_RR | Round=23
大雪压缩堂食时段与人时，主推外卖并安排除雪巡检。
薯条限购停大份，改推沙拉/烤豆，严控订货毛利。
节日促销POS/外卖同步上线，日报反馈：堂食跌，外卖升。",23
A018_PA_RR,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A018_PA_RR | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A018_PA_RR | Round=23
【本周行动】你现在扮演：罗伊罗杰门店值班经理（州别：PA，连锁：罗伊罗杰）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A018_PA_RR | Round=23
大雪：客流预估低，延迟开门/提前打烊；精简班次，聚焦外卖安全。
促销：按总部口径执行，物料就位；上报转化客单。
马铃薯紧缺：薯条限量/小份优先，推替代配菜；更新成本监控。",23
A019_PA_RR,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A019_PA_RR | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A019_PA_RR | Round=23
【本周行动】你现在扮演：罗伊罗杰门店值班经理（州别：PA，连锁：罗伊罗杰）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A019_PA_RR | Round=23
大雪：压缩晚间营业、合并班次启用就近员工，主推外送自提；促销：严格执行总部节促，前台话术/陈列强化；薯供紧：薯条限量与配菜替换，跨店调拨，推无薯单品保毛利。",23
A020_PA_RR,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A020_PA_RR | Round=23。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A020_PA_RR | Round=23
【本周行动】你现在扮演：罗伊罗杰门店值班经理（州别：PA，连锁：罗伊罗杰）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A020_PA_RR | Round=23
按总部节促：上架物料与POS，日更销量反馈；马铃薯紧缺：限大份薯条/土豆泥，转推凉拌与通心粉护毛利；大雪：缩时段与人手，主推外卖自取，清雪防滑。",23
A001_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A001_NJ_BK | Round=24。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A001_NJ_BK | Round=24
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A001_NJ_BK | Round=24
核查并更新时薪至新标准，控加班与闲时工时，避免合规风险。
节促按总部口径执行，物料陈列统一；日汇转化与客诉反馈。
应对马铃薯紧缺：协同仓配到货；优先套餐薯条，暂停大份，推替代品。",24
A002_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A002_NJ_BK | Round=24。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A002_NJ_BK | Round=24
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A002_NJ_BK | Round=24
工资按NJ新标即生效，校对排班薪资，防合规风险。
节日促销全店执行陈列口播；反馈：客流+6%、客单略升。
薯类紧缺：限大份/加量，优先套餐，推替代小食，控出品。",24
A003_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A003_NJ_BK | Round=24。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A003_NJ_BK | Round=24
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A003_NJ_BK | Round=24
执行NJ涨薪，控加班、错峰排班降人时成本。
按总部口径执行节日促销，强化推荐；首两日客单+3%。
薯条紧缺，严控份量与报损；引导洋葱圈/沙拉替换。",24
A004_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A004_NJ_BK | Round=24。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A004_NJ_BK | Round=24
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A004_NJ_BK | Round=24
新时薪已执行；非高峰减班，高峰补1人控劳占比。
促销到位：陈列+口播，客单与客流均回升。
薯条紧缺：停大薯折扣，先保套餐，推荐洋葱圈替代。",24
A005_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A005_NJ_BK | Round=24。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A005_NJ_BK | Round=24
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A005_NJ_BK | Round=24
薪资按NJ新标执行，压缩闲时工时控加班，避免合规风险。
节日促销落地：POS/海报同步，上报日转化与客诉。
薯条紧缺：严控份量与报废，暂停大份，推荐洋葱圈等替代。",24
A006_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A006_NJ_BK | Round=24。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A006_NJ_BK | Round=24
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A006_NJ_BK | Round=24
按新时薪执行并补差，控加班，峰时弹性排班。
执行节促；首两天套餐渗透+9%，午高峰等候↑，增派前台并日报。
薯条紧缺：限量优先套餐，建议换洋葱圈，互调库存，控报损。",24
